D Time (seconds)	Pitot Pressure (PSIG)	Plenum Pressure (PSIG)	Tank Pressure (PSIG)
4.289	-0.113	-0.051	90.494	0.021
4.319	-0.231	-0.055	91.524	0.004
4.348	-0.096	-0.004	89.220	0.047
4.377	-0.226	-0.004	90.482	-0.004
4.406	-0.101	-0.064	90.519	0.013
4.436	-0.096	-0.008	89.134	0.017
4.470	-0.185	-0.076	90.874	0.030
4.500	-0.101	-0.055	90.225	0.025
4.529	-0.189	-0.051	91.585	-0.004
4.558	-0.046	-0.072	89.526	0.068
4.587	-0.164	-0.042	90.396	0.034
4.616	-0.155	0.004	90.310	-0.013
4.645	-0.210	-0.004	90.825	-0.021
4.675	-0.101	-0.047	90.029	0.030
4.704	-0.264	-0.055	91.928	0.013
4.734	-0.180	0.004	90.090	0.009
4.764	-0.222	-0.030	91.021	0.004
4.794	-0.235	-0.034	91.352	-0.008
4.824	-0.235	-0.047	91.965	-0.021
4.854	-0.193	0.017	90.408	-0.017
4.884	-0.222	-0.051	91.315	0.025
4.914	-0.088	-0.051	89.477	0.076
4.944	-0.071	-0.081	90.163	0.038
4.973	-0.235	0.009	90.310	-0.013
5.003	-0.105	-0.059	90.372	0.042
5.060	-0.063	-0.047	89.649	0.021
5.090	-0.055	-0.059	90.605	0.009
5.120	-0.214	-0.064	91.217	0.013
5.150	-0.126	-0.051	90.225	0.030
5.180	-0.092	-0.021	90.065	-0.030
5.209	-0.185	-0.059	91.536	-0.025
5.239	-0.239	-0.068	92.002	-0.025
5.268	-0.164	-0.081	91.168	0.042
5.298	-0.197	-0.051	91.193	-0.004
5.328	-0.092	-0.042	90.176	-0.004
5.358	-0.134	-0.025	90.200	0.013
5.386	-0.168	-0.017	90.323	-0.017
5.416	-0.063	-0.051	89.796	-0.008
5.446	-0.197	-0.068	91.193	0.004
5.475	-0.201	-0.004	90.445	-0.004
5.504	-0.138	-0.051	89.857	0.051
5.538	-0.138	-0.021	90.029	0.013
5.568	-0.168	-0.098	91.757	0.013
5.598	-0.159	-0.030	89.943	0.025
5.627	-0.075	-0.059	89.918	0.025
5.656	-0.096	-0.098	90.850	0.051
5.686	-0.117	-0.038	89.367	0.081
5.716	-0.193	0.004	90.261	-0.017
5.746	-0.197	-0.047	91.254	0.004
5.775	-0.180	-0.042	90.960	0.009
5.805	-0.130	-0.068	90.886	0.025
5.835	-0.310	-0.025	91.585	-0.055
5.864	-0.130	-0.025	90.139	-0.013
5.893	-0.180	-0.042	91.033	-0.021
5.923	-0.130	-0.004	89.109	0.013
5.952	-0.134	-0.059	90.261	0.059
5.981	-0.138	-0.038	89.832	0.017
6.011	-0.256	0.034	89.330	-0.004
6.041	-0.189	-0.076	91.842	-0.004
6.070	-0.126	-0.081	90.372	0.068
6.100	-0.185	-0.030	91.340	-0.030
6.129	-0.260	-0.008	91.217	-0.038
6.158	-0.075	3.888	89.673	0.284
6.188	-0.226	6.612	91.842	-0.030
6.216	-0.055	6.918	90.372	-0.314
6.245	-0.235	6.778	91.340	-0.671
6.274	-0.105	5.976	89.734	-0.772
6.303	-0.059	4.130	90.421	-0.794
6.332	-0.101	2.661	91.242	-0.730
6.362	-0.285	2.564	90.114	-0.683
6.391	-0.080	3.909	90.225	-0.632
6.421	-0.180	6.600	91.781	-0.679
6.450	-0.164	9.414	89.881	-0.734
6.479	-0.210	11.922	91.487	-1.057
6.509	-0.226	14.209	91.364	-1.413
6.539	-0.306	16.208	91.401	-1.804
6.569	-0.122	18.076	90.519	-2.135
6.597	-0.155	19.948	90.372	-2.508
6.626	-0.084	21.883	89.673	-2.869
6.656	-0.080	23.759	90.494	-3.285
6.684	-0.193	25.648	90.654	-3.726
6.714	-0.117	27.489	89.563	-4.062
6.742	-0.180	29.140	91.462	-4.414
6.771	-0.088	30.774	90.347	-4.719
6.800	-0.214	32.570	89.109	-5.080
6.829	-0.197	34.093	90.727	-5.424
6.858	-0.226	35.676	90.654	-5.734
6.886	-0.067	37.136	89.453	-5.938
6.916	-0.109	38.656	88.766	-6.226
6.944	-0.164	40.099	88.889	-6.515
6.973	-0.189	41.381	90.065	-6.710
7.002	-0.197	42.701	90.776	-6.922
7.035	-0.243	44.229	90.752	-7.168
7.064	-0.218	45.459	89.734	-7.274
7.094	-0.218	46.826	89.305	-7.440
7.124	-0.113	47.942	89.367	-7.499
7.153	-0.206	49.131	88.754	-7.690
7.182	-0.210	50.119	89.587	-7.890
7.211	-0.256	51.147	89.526	-8.068
7.241	-0.113	52.072	88.791	-8.157
7.270	-0.109	53.073	88.497	-8.234
7.299	-0.130	53.897	89.783	-8.234
7.328	-0.109	54.712	89.661	-8.055
7.357	-0.096	55.573	88.864	-7.860
7.387	-0.147	56.486	87.639	-7.716
7.416	-0.130	57.050	89.453	-7.809
7.445	-0.143	57.717	89.832	-8.017
7.475	-0.138	58.434	88.766	-8.238
7.505	-0.185	59.075	87.614	-8.603
7.535	-0.164	59.542	87.688	-8.955
7.563	-0.117	59.966	88.362	-9.172
7.593	-0.180	60.390	89.244	-9.477
7.622	-0.092	60.823	88.068	-9.745
7.651	-0.168	61.197	87.982	-10.020
7.680	-0.075	61.464	88.644	-10.237
7.709	-0.264	61.829	89.207	-10.559
7.738	-0.252	62.105	88.778	-10.767
7.772	-0.176	62.453	88.435	-11.056
7.802	-0.143	62.708	87.161	-11.196
7.832	-0.218	62.903	88.399	-11.442
7.862	-0.277	63.115	88.631	-11.620
7.891	-0.231	63.408	87.124	-11.828
7.921	-0.134	63.561	86.340	-11.956
7.951	-0.143	63.722	86.756	-12.083
7.980	-0.226	63.743	88.754	-12.300
8.010	-0.210	63.998	87.725	-12.448
8.040	-0.109	64.091	87.614	-12.516
8.070	-0.222	64.287	87.112	-12.682
8.098	-0.226	64.333	87.455	-12.813
8.127	-0.214	64.473	87.577	-12.957
8.157	-0.226	64.507	87.823	-12.953
8.187	-0.063	64.562	86.769	-13.038
8.217	-0.147	64.677	86.217	-13.140
8.247	-0.172	64.652	87.798	-13.229
8.277	-0.264	64.745	87.725	-13.301
8.306	-0.151	64.966	85.396	-13.335
8.336	-0.214	65.034	86.585	-13.450
8.365	-0.197	65.017	87.271	-13.501
8.394	-0.185	65.046	87.663	-13.509
8.424	-0.189	65.059	86.805	-13.526
8.454	-0.256	65.084	87.271	-13.619
8.484	-0.168	65.076	86.597	-13.581
8.514	-0.117	65.182	85.506	-13.611
8.544	-0.294	65.225	86.965	-13.666
8.577	-0.143	65.220	86.340	-13.683
8.608	-0.206	65.237	86.720	-13.692
8.638	-0.256	65.203	87.185	-13.683
8.667	-0.226	65.233	86.609	-13.743
8.698	-0.226	65.144	87.001	-13.721
8.729	-0.122	65.280	85.212	-13.683
8.760	-0.256	65.220	85.041	-13.760
8.790	-0.155	65.140	85.617	-13.704
8.820	-0.222	65.233	84.979	-13.738
8.850	-0.277	65.203	85.506	-13.751
8.884	-0.185	65.059	85.433	-13.760
8.919	-0.113	65.017	84.930	-13.734
8.949	-0.239	65.118	86.107	-13.785
8.979	-0.109	65.080	84.256	-13.738
9.008	-0.143	65.123	83.398	-13.747
9.043	-0.189	65.114	84.170	-13.772
9.073	-0.226	65.029	85.702	-13.793
9.103	-0.206	64.932	86.254	-13.764
9.133	-0.138	64.944	83.803	-13.726
9.164	-0.235	64.961	85.433	-13.747
9.193	-0.117	65.004	85.004	-13.743
9.223	-0.164	64.881	85.702	-13.777
9.252	-0.222	64.991	84.072	-13.772
