D Time (seconds)	Pitot Pressure (PSIG)	Plenum Pressure (PSIG)	Tank Pressure (PSIG)
0.000	-0.092	-0.081	101.524	0.055
0.031	-0.281	-0.021	102.382	0.009
0.064	-0.218	-0.064	103.375	-0.021
0.098	-0.084	-0.089	101.696	0.030
0.128	-0.197	-0.042	102.063	0.017
0.157	-0.185	-0.051	101.929	0.042
0.187	-0.168	-0.081	103.191	0.013
0.217	-0.155	-0.042	101.549	0.051
0.247	-0.197	0.009	101.242	0.017
0.277	-0.180	-0.093	103.313	0.004
0.306	-0.189	0.004	101.414	-0.004
0.336	-0.277	0.017	101.475	0.004
0.366	-0.247	-0.038	102.603	-0.008
0.396	-0.252	-0.030	102.284	-0.008
0.426	-0.235	-0.030	102.799	-0.055
0.456	-0.155	0.004	100.654	0.021
0.486	-0.134	-0.055	102.063	0.004
0.516	-0.214	-0.030	102.235	0.021
0.546	-0.243	-0.042	102.664	0.004
0.575	-0.222	-0.064	103.044	-0.013
0.606	-0.214	0.004	102.100	-0.047
0.640	-0.226	-0.055	102.676	0.013
0.675	-0.151	-0.076	101.990	0.047
0.708	-0.180	-0.030	101.696	0.030
0.741	-0.201	-0.072	103.277	0.000
0.772	-0.218	-0.030	102.296	0.009
0.802	-0.206	-0.030	102.394	-0.017
0.832	-0.239	-0.034	102.983	-0.030
0.863	-0.168	-0.051	102.247	0.030
0.893	-0.101	-0.030	101.304	0.013
0.923	-0.092	-0.051	101.353	0.042
0.952	-0.206	-0.038	102.615	-0.004
0.983	-0.247	-0.021	102.762	-0.008
1.012	-0.147	-0.030	101.255	0.051
1.042	-0.096	-0.093	102.088	0.042
1.071	-0.147	-0.093	102.652	0.030
1.101	-0.096	-0.042	101.438	0.025
1.131	-0.222	-0.051	102.456	-0.004
1.160	-0.105	-0.059	101.157	0.072
1.189	-0.138	-0.042	101.353	0.025
1.218	-0.218	0.021	101.377	0.000
1.248	-0.231	-0.042	102.492	0.017
1.278	-0.197	0.009	101.806	-0.030
1.308	-0.197	0.009	101.267	-0.021
1.338	-0.239	-0.025	102.652	-0.030
1.368	-0.088	-0.076	102.027	0.025
1.398	-0.247	-0.038	102.811	-0.013
1.427	-0.168	0.004	100.813	0.013
1.456	-0.256	-0.034	102.909	-0.021
1.486	-0.243	0.004	102.247	-0.038
1.516	-0.134	-0.051	101.512	0.055
1.546	-0.138	-0.008	100.936	0.013
1.575	-0.122	-0.089	102.431	0.025
1.605	-0.193	0.013	101.475	-0.013
1.635	-0.109	-0.064	102.137	0.034
1.664	-0.243	0.004	102.235	-0.030
1.693	-0.105	-0.038	101.267	0.034
1.723	-0.168	0.004	101.414	-0.008
1.752	-0.214	0.004	101.451	-0.004
1.781	-0.117	-0.055	101.683	0.064
1.810	-0.143	-0.047	101.475	0.030
1.841	-0.180	-0.068	102.407	0.030
1.871	-0.109	-0.025	100.960	0.009
1.900	-0.130	-0.051	101.867	-0.008
1.929	-0.159	-0.047	102.505	0.000
1.959	-0.080	-0.059	101.500	0.021
1.988	-0.185	-0.021	101.218	0.038
2.017	-0.243	-0.030	102.934	-0.042
2.046	-0.206	-0.030	102.112	0.038
2.076	-0.214	-0.021	102.321	-0.055
2.106	-0.180	0.004	101.206	0.000
2.136	-0.226	-0.021	102.456	-0.038
2.166	-0.126	-0.042	101.426	0.059
2.197	-0.151	-0.021	101.328	0.004
2.230	-0.273	-0.004	102.149	-0.017
2.259	-0.214	-0.059	102.688	-0.004
2.289	-0.285	0.013	102.088	-0.021
2.320	-0.113	-0.038	100.948	0.047
2.349	-0.126	-0.085	102.370	0.038
2.379	-0.185	0.013	100.764	0.017
2.409	-0.109	-0.068	102.210	0.034
2.439	-0.260	-0.008	102.774	-0.030
2.469	-0.159	-0.042	101.659	0.059
2.499	-0.185	-0.085	102.970	0.004
2.529	-0.247	-0.047	102.799	0.004
2.559	-0.101	-0.081	101.892	0.055
2.589	-0.180	0.009	101.157	-0.021
2.619	-0.235	-0.055	103.068	-0.042
2.649	-0.201	-0.076	103.203	-0.013
2.680	-0.243	-0.038	102.431	0.017
2.710	-0.143	-0.030	101.304	0.025
2.740	-0.218	-0.025	102.333	-0.021
2.770	-0.302	-0.030	103.068	-0.042
2.799	-0.222	-0.030	102.615	-0.025
2.828	-0.260	0.004	102.137	-0.025
2.857	-0.264	-0.038	102.541	-0.008
2.887	-0.176	-0.059	102.235	0.034
2.918	-0.105	-0.059	102.161	-0.021
2.948	-0.105	-0.059	101.610	0.042
2.977	-0.101	-0.064	101.610	0.038
3.007	-0.122	-0.038	101.524	0.034
3.038	-0.185	-0.068	103.179	-0.025
3.068	-0.105	-0.021	101.009	0.017
3.098	-0.214	-0.055	102.762	0.013
3.127	-0.264	0.025	101.634	-0.025
3.157	-0.180	-0.059	102.149	0.047
3.185	-0.092	-0.051	101.304	0.025
3.216	-0.189	-0.068	103.105	0.004
3.245	-0.130	-0.030	101.230	0.025
3.274	-0.226	0.021	101.500	-0.030
3.304	-0.197	0.004	101.365	-0.017
3.334	-0.222	0.025	101.365	0.004
3.365	-0.172	-0.004	101.169	0.013
3.395	-0.138	-0.064	102.309	0.034
3.425	-0.226	-0.038	102.529	-0.008
3.454	-0.101	-0.025	100.862	0.034
3.484	-0.189	-0.042	101.487	0.055
3.513	-0.268	-0.008	102.112	-0.017
3.542	-0.193	0.009	101.438	-0.021
3.572	-0.172	-0.064	101.831	0.064
3.602	-0.185	-0.059	102.480	0.017
3.632	-0.222	-0.008	102.284	-0.038
3.662	-0.260	-0.008	102.823	-0.021
3.693	-0.226	0.013	101.475	-0.017
3.723	-0.126	-0.030	101.451	-0.004
3.754	-0.096	-0.068	101.904	0.042
3.784	-0.231	0.004	101.929	-0.008
3.814	-0.197	-0.025	102.627	-0.051
3.845	-0.122	-0.055	101.328	0.051
3.875	-0.071	-0.081	101.769	0.038
