D Time (seconds)	Pitot Pressure (PSIG)	Plenum Pressure (PSIG)	Tank Pressure (PSIG)
3.904	-0.210	-0.059	102.468	0.034
3.935	-0.096	-0.051	101.843	0.013
3.965	-0.176	-0.081	102.737	0.021
3.994	-0.126	-0.030	101.169	0.051
4.027	-0.222	0.004	101.598	-0.021
4.061	-0.180	-0.064	102.737	0.017
4.091	-0.247	-0.042	102.615	0.009
4.121	-0.147	-0.089	102.885	0.021
4.152	-0.101	-0.038	101.585	-0.004
4.182	-0.285	-0.013	102.161	0.013
4.212	-0.273	0.021	101.880	-0.008
4.242	-0.256	-0.021	102.394	0.004
4.271	-0.147	-0.081	102.456	0.038
4.301	-0.176	-0.072	103.154	-0.004
4.331	-0.109	-0.047	101.549	0.017
4.361	-0.239	-0.051	102.701	0.004
4.390	-0.159	-0.068	102.345	0.042
4.419	-0.226	-0.021	102.836	-0.013
4.449	-0.247	-0.004	102.639	-0.004
4.479	-0.168	-0.093	103.228	0.013
4.509	-0.231	-0.042	102.603	0.013
4.539	-0.130	-0.017	101.095	0.030
4.569	-0.151	-0.004	100.666	0.038
4.598	-0.193	0.000	101.990	-0.038
4.628	-0.138	-0.064	101.990	0.042
4.658	-0.222	-0.030	102.897	-0.025
4.688	-0.252	-0.025	102.541	0.009
4.717	-0.151	-0.013	101.291	-0.008
4.747	-0.256	0.021	101.512	-0.030
4.776	-0.193	-0.081	103.056	0.004
4.806	-0.143	-0.021	100.911	0.051
4.836	-0.218	-0.064	103.032	-0.008
4.865	-0.264	0.000	102.419	-0.030
4.894	-0.310	0.021	102.407	-0.042
4.924	-0.294	-0.030	103.301	-0.038
4.954	-0.231	-0.064	103.093	-0.004
4.984	-0.164	0.000	101.438	-0.008
5.018	-0.264	-0.038	102.921	-0.017
5.048	-0.126	-0.093	102.799	0.013
5.078	-0.201	-0.068	102.358	0.025
5.108	-0.134	-0.072	102.358	0.034
5.137	-0.096	-0.055	101.659	0.017
5.167	-0.113	-0.064	101.818	0.025
5.201	-0.117	-0.042	101.463	0.025
5.231	-0.247	-0.025	102.897	-0.038
5.261	-0.243	-0.030	103.007	-0.038
5.291	-0.138	0.021	100.654	0.004
5.320	-0.159	-0.008	100.875	0.025
5.349	-0.159	0.004	101.267	-0.013
5.378	-0.235	0.034	101.438	-0.030
5.408	-0.071	-0.047	101.389	0.021
5.441	-0.222	0.004	101.757	-0.030
5.473	-0.226	-0.021	102.541	-0.042
5.503	-0.197	0.025	100.691	0.013
5.533	-0.092	-0.081	101.708	0.038
5.563	-0.109	-0.076	102.039	0.038
5.593	-0.143	-0.017	100.801	0.021
5.624	-0.189	-0.042	102.345	-0.034
5.654	-0.138	-0.064	101.794	0.030
5.684	-0.134	-0.072	102.529	0.021
5.714	-0.201	-0.059	103.154	0.004
5.744	-0.206	-0.021	102.358	-0.038
5.774	-0.260	0.017	101.843	-0.021
5.804	-0.168	-0.059	102.382	0.025
5.836	-0.147	-0.008	101.316	-0.013
5.868	-0.096	-0.047	101.402	0.017
5.898	-0.264	0.004	102.014	0.000
5.928	-0.222	0.013	101.500	-0.021
5.958	-0.268	-0.021	102.431	-0.004
5.988	-0.180	-0.064	102.603	0.030
6.019	-0.252	-0.013	102.799	-0.030
6.049	-0.130	-0.004	100.997	0.030
6.079	-0.155	-0.068	101.843	0.038
6.109	-0.088	-0.064	101.757	0.030
6.139	-0.122	-0.030	101.206	0.051
6.169	-0.226	0.009	101.696	-0.030
6.200	-0.222	-0.017	102.480	-0.047
6.230	-0.185	-0.013	102.027	-0.030
6.261	-0.185	-0.064	102.590	0.017
6.291	-0.168	-0.068	102.112	0.042
6.322	-0.151	-0.089	102.848	0.009
6.352	-0.164	-0.051	102.125	0.042
6.383	-0.134	-0.017	101.291	0.004
6.412	-0.130	-0.072	102.725	0.025
6.442	-0.155	-0.089	102.627	0.025
6.473	-0.201	0.025	101.169	-0.008
6.504	-0.235	-0.008	102.456	-0.047
6.534	-0.185	-0.089	103.252	-0.008
6.565	-0.117	-0.013	101.279	0.004
6.595	-0.264	0.017	101.683	-0.025
6.625	-0.143	-0.055	101.867	0.038
6.655	-0.176	-0.081	102.345	0.034
6.686	-0.239	-0.030	102.529	0.004
6.715	-0.168	0.000	101.573	-0.030
6.745	-0.197	-0.059	102.333	0.034
6.776	-0.189	0.021	100.813	0.009
6.807	-0.256	-0.042	102.431	-0.008
6.837	-0.231	-0.025	102.259	-0.008
6.868	-0.189	0.004	100.997	0.000
6.898	-0.164	0.009	100.605	-0.008
6.929	-0.189	0.004	101.475	-0.013
6.960	-0.143	-0.047	101.549	0.021
6.991	-0.176	-0.085	102.897	0.004
7.021	-0.273	0.021	102.210	-0.038
7.051	-0.122	-0.013	100.703	0.038
7.082	-0.172	-0.030	102.284	0.021
7.112	-0.126	4.329	101.438	0.242
7.143	-0.080	8.191	101.610	0.047
7.173	-0.185	10.610	101.929	-0.429
7.202	-0.109	10.750	101.475	-0.717
7.231	-0.218	10.335	101.831	-1.082
7.259	-0.101	8.361	101.733	-1.167
7.288	-0.155	6.286	101.095	-1.137
7.318	-0.143	5.046	100.458	-1.002
7.347	-0.109	5.496	101.353	-0.891
7.376	-0.105	7.826	102.186	-0.845
7.406	-0.122	11.536	101.046	-1.112
7.436	-0.239	14.893	101.929	-1.490
7.466	-0.189	17.779	101.389	-1.901
7.496	-0.214	20.202	102.174	-2.368
7.525	-0.143	22.295	100.862	-2.742
7.553	-0.201	24.383	101.733	-3.145
7.583	-0.105	26.484	101.009	-3.523
7.611	-0.226	28.678	102.088	-3.977
7.640	-0.117	30.872	101.659	-4.367
7.670	-0.226	32.977	101.242	-4.762
7.699	-0.105	34.997	100.409	-5.106
7.733	-0.151	37.272	100.152	-5.513
7.763	-0.247	39.195	100.887	-5.895
7.791	-0.264	40.990	100.850	-6.192
7.820	-0.218	42.722	101.965	-6.477
7.873	-0.105	45.782	99.784	-6.850
7.903	-0.130	47.378	100.728	-7.096
7.931	-0.159	48.863	101.745	-7.338
7.960	-0.222	50.417	101.806	-7.584
7.990	-0.147	51.949	99.845	-7.830
8.019	-0.214	53.307	101.512	-8.009
8.047	-0.201	54.563	101.733	-7.966
8.076	-0.197	55.807	101.120	-7.788
8.106	-0.130	57.059	100.299	-7.669
8.135	-0.256	58.315	101.022	-7.886
8.164	-0.172	59.355	100.519	-8.106
8.194	-0.122	60.382	100.115	-8.446
8.222	-0.281	61.337	100.531	-8.824
8.252	-0.143	62.228	99.808	-9.155
8.280	-0.281	62.958	100.201	-9.443
8.309	-0.210	63.633	101.034	-9.745
8.339	-0.155	64.312	99.527	-9.948
8.367	-0.138	64.919	99.625	-10.224
8.396	-0.143	65.500	98.669	-10.449
8.426	-0.180	65.997	99.306	-10.670
8.455	-0.206	66.400	100.642	-10.920
8.483	-0.151	66.863	99.000	-11.077
8.513	-0.130	67.245	99.833	-11.285
8.543	-0.201	67.703	100.090	-11.553
8.572	-0.247	68.098	98.877	-11.714
8.601	-0.189	68.459	98.644	-11.858
8.631	-0.226	68.862	99.686	-12.028
8.660	-0.226	69.146	99.294	-12.215
8.690	-0.189	69.447	99.000	-12.350
8.720	-0.185	69.681	99.808	-12.461
8.751	-0.122	69.999	97.872	-12.529
8.781	-0.113	70.356	98.080	-12.698
8.811	-0.075	70.432	98.656	-12.779
8.841	-0.222	70.683	99.649	-12.915
8.870	-0.218	70.984	97.431	-12.979
8.899	-0.193	71.260	97.198	-13.059
8.928	-0.109	71.353	98.362	-13.106
8.958	-0.122	71.519	98.558	-13.191
8.988	-0.138	71.629	98.178	-13.238
9.018	-0.092	71.786	96.965	-13.310
9.048	-0.222	71.964	97.737	-13.399
9.078	-0.239	72.185	96.965	-13.412
9.108	-0.243	72.240	99.085	-13.513
9.138	-0.084	72.376	97.713	-13.433
9.168	-0.138	72.546	97.112	-13.471
9.202	-0.222	72.601	98.129	-13.522
9.233	-0.239	72.741	98.019	-13.539
9.261	-0.226	72.868	98.019	-13.573
9.291	-0.222	72.987	97.897	-13.624
9.321	-0.256	72.996	98.044	-13.603
9.356	-0.289	73.216	97.247	-13.636
9.386	-0.264	73.178	97.737	-13.594
9.416	-0.210	73.216	97.884	-13.619
9.446	-0.143	73.344	96.316	-13.615
9.476	-0.172	73.229	97.799	-13.598
9.505	-0.243	73.437	97.468	-13.653
9.535	-0.164	73.339	96.843	-13.577
9.565	-0.277	73.492	96.475	-13.641
9.595	-0.189	73.433	96.720	-13.590
9.625	-0.239	73.518	97.002	-13.632
9.655	-0.273	73.636	96.046	-13.658
9.685	-0.155	73.624	95.617	-13.619
9.715	-0.214	73.573	97.100	-13.624
9.744	-0.189	73.692	95.200	-13.628
9.773	-0.201	73.624	96.218	-13.653
9.803	-0.247	73.632	96.928	-13.679
9.833	-0.155	73.658	95.703	-13.658
9.872	-0.189	73.620	96.401	-13.607
9.902	-0.092	73.603	96.696	-13.598
9.931	-0.231	73.573	97.026	-13.670
9.961	-0.210	73.560	96.107	-13.607
9.990	-0.226	73.467	97.124	-13.653
10.020	-0.226	73.632	95.458	-13.658
10.051	-0.155	73.573	95.078	-13.603
10.081	-0.289	73.687	95.556	-13.653
10.111	-0.247	73.581	96.267	-13.692
10.140	-0.126	73.522	95.102	-13.611
10.169	-0.113	73.475	95.384	-13.607
10.199	-0.113	73.454	95.507	-13.624
10.229	-0.243	73.535	94.575	-13.662
10.260	-0.159	73.424	95.262	-13.594
10.289	-0.264	73.513	95.102	-13.696
10.318	-0.298	73.433	94.477	-13.658
10.348	-0.235	73.259	95.421	-13.692
10.378	-0.231	73.182	95.825	-13.692
10.407	-0.226	73.238	95.004	-13.692
10.437	-0.231	73.335	93.619	-13.658
10.467	-0.122	73.127	94.208	-13.619
10.496	-0.143	73.068	94.661	-13.624
10.529	-0.264	73.076	94.833	-13.662
10.559	-0.189	72.962	95.017	-13.645
10.589	-0.247	72.957	94.698	-13.666
10.620	-0.185	73.004	93.399	-13.675
10.651	-0.294	72.953	94.404	-13.692
10.681	-0.105	72.817	93.975	-13.645
10.710	-0.138	72.817	92.516	-13.624
10.739	-0.206	72.830	93.264	-13.687
10.769	-0.239	72.626	94.575	-13.658
10.798	-0.101	72.648	93.387	-13.632
10.828	-0.109	72.699	92.786	-13.636
10.857	-0.197	72.537	94.257	-13.666
10.886	-0.231	72.580	92.884	-13.696
10.915	-0.185	72.558	93.570	-13.704
10.945	-0.164	72.537	92.345	-13.662
10.976	-0.126	72.376	93.301	-13.641
11.006	-0.147	72.346	93.301	-13.641
11.036	-0.273	72.389	93.570	-13.713
11.066	-0.180	72.363	92.480	-13.683
11.095	-0.264	72.351	92.774	-13.687
11.125	-0.226	72.266	93.595	-13.670
11.155	-0.256	72.240	93.178	-13.675
11.185	-0.172	72.291	92.418	-13.696
11.215	-0.168	72.143	92.136	-13.692
11.245	-0.143	72.147	91.450	-13.641
11.275	-0.109	71.986	92.529	-13.649
11.308	-0.239	72.002	92.835	-13.726
11.339	-0.138	71.909	92.247	-13.636
11.368	-0.109	71.947	92.038	-13.670
11.397	-0.218	71.803	92.774	-13.709
11.427	-0.260	71.773	92.271	-13.721
11.457	-0.092	71.612	92.014	-13.658
11.487	-0.222	71.578	92.688	-13.675
11.517	-0.239	71.536	92.774	-13.700
11.547	-0.151	71.455	91.781	-13.641
11.578	-0.210	71.472	91.021	-13.696
11.607	-0.117	71.340	91.389	-13.709
11.636	-0.130	71.230	91.842	-13.666
11.670	-0.189	71.162	91.132	-13.709
11.701	-0.247	71.149	90.837	-13.709
11.735	-0.151	70.967	91.744	-13.700
11.766	-0.092	70.954	91.364	-13.662
11.795	-0.147	71.005	89.808	-13.662
11.825	-0.218	70.857	91.916	-13.692
11.860	-0.239	70.814	91.830	-13.747
11.889	-0.231	70.661	92.100	-13.726
11.918	-0.210	70.606	90.200	-13.700
11.948	-0.147	70.398	90.739	-13.645
11.978	-0.138	70.343	90.948	-13.700
12.007	-0.235	70.254	91.475	-13.743
12.037	-0.285	70.177	90.886	-13.726
12.066	-0.092	69.978	90.494	-13.675
12.095	-0.214	69.808	89.894	-13.713
12.124	-0.243	69.443	91.818	-13.717
12.154	-0.256	69.265	90.654	-13.747
12.184	-0.180	69.036	89.783	-13.666
12.214	-0.226	68.819	90.016	-13.743
12.244	-0.218	68.480	90.249	-13.760
12.273	-0.206	68.085	90.090	-13.755
12.302	-0.134	67.597	89.734	-13.700
12.332	-0.298	67.194	90.408	-13.734
12.362	-0.143	66.689	88.950	-13.738
12.392	-0.159	66.107	89.109	-13.751
12.422	-0.151	65.267	90.286	-13.730
12.453	-0.273	64.545	90.605	-13.806
12.483	-0.172	63.650	89.649	-13.721
12.512	-0.130	62.797	88.950	-13.743
12.541	-0.193	61.761	89.600	-13.743
12.571	-0.172	60.641	89.024	-13.810
12.601	-0.151	59.253	90.151	-13.785
12.631	-0.247	57.920	89.869	-13.827
12.661	-0.130	56.435	89.465	-13.810
12.690	-0.172	55.034	88.080	-13.849
12.720	-0.180	53.574	88.877	-13.895
12.749	-0.189	52.084	89.967	-13.866
12.778	-0.239	50.760	88.570	-13.726
12.807	-0.252	49.292	88.202	-13.479
12.837	-0.235	47.526	89.489	-13.127
12.867	-0.088	45.935	88.546	-12.618
12.896	-0.210	44.076	89.514	-12.117
12.925	-0.235	41.682	89.036	-11.540
12.953	-0.206	38.894	88.742	-10.916
12.983	-0.122	35.562	88.092	-10.211
13.013	-0.126	32.111	87.614	-9.588
13.042	-0.206	28.500	89.722	-8.981
13.071	-0.193	25.185	88.582	-8.382
13.099	-0.260	21.930	88.742	-7.733
13.127	-0.235	18.666	88.448	-7.041
13.156	-0.096	15.347	88.080	-6.222
13.186	-0.176	12.317	89.011	-5.424
13.214	-0.210	9.689	89.281	-4.639
13.243	-0.222	7.385	88.497	-3.845
13.272	-0.117	5.267	88.006	-3.039
13.302	-0.096	3.370	89.379	-2.355
13.330	-0.096	1.901	88.043	-1.757
13.359	-0.096	0.700	88.264	-1.256
13.389	-0.143	0.115	88.190	-0.857
13.418	-0.117	0.013	88.350	-0.505
13.448	-0.122	0.276	87.945	-0.263
13.482	-0.247	0.378	89.269	-0.115
13.510	-0.197	0.212	89.244	-0.110
13.540	-0.243	0.098	89.698	-0.182
13.570	-0.226	0.229	88.399	-0.157
13.600	-0.143	0.255	88.472	-0.110
13.630	-0.189	0.259	89.158	-0.115
13.660	-0.155	0.157	88.975	-0.089
13.689	-0.180	0.212	88.227	-0.144
13.718	-0.155	0.204	88.129	-0.119
13.747	-0.302	0.233	88.975	-0.093
13.778	-0.109	0.170	88.141	-0.059
13.806	-0.126	0.178	88.166	-0.047
13.836	-0.134	0.183	88.019	-0.072
13.868	-0.214	0.166	89.685	-0.132
13.899	-0.226	0.144	89.820	-0.106
13.927	-0.168	0.208	87.479	-0.081
13.957	-0.172	0.161	88.509	-0.093
13.986	-0.092	0.123	87.847	-0.042
14.017	-0.147	0.144	88.656	-0.076
14.047	-0.235	0.157	88.975	-0.102
14.077	-0.155	0.119	88.570	-0.030
14.105	-0.210	0.183	88.019	-0.093
14.134	-0.189	0.098	89.796	-0.081
14.164	-0.134	0.157	87.418	-0.059
14.195	-0.147	0.093	88.950	-0.081
14.225	-0.143	0.064	89.685	-0.055
14.255	-0.189	0.064	90.323	-0.081
14.285	-0.147	0.093	88.693	-0.047
14.314	-0.101	0.076	88.386	-0.025
14.343	-0.197	0.064	89.698	-0.047
14.373	-0.189	0.132	88.460	-0.064
14.402	-0.138	0.106	88.239	-0.064
14.432	-0.176	0.102	88.962	-0.089
14.461	-0.214	0.123	88.313	-0.064
14.494	-0.239	0.055	90.016	-0.051
