D Time (seconds)	Pitot Pressure (PSIG)	Plenum Pressure (PSIG)	Tank Pressure (PSIG)    Static Pressure Probe (PSIG)
4.471	-0.193	-0.076	115.422	0.013
4.506	-0.214	0.017	114.049	-0.025
4.540	-0.197	0.004	114.503	-0.030
4.574	-0.218	-0.030	115.177	-0.025
4.608	-0.277	-0.017	115.042	0.004
4.642	-0.189	-0.013	114.919	-0.025
4.676	-0.164	-0.051	115.189	0.021
4.710	-0.168	-0.085	115.275	0.017
4.745	-0.168	-0.004	113.755	0.004
4.780	-0.243	0.009	114.687	-0.025
4.814	-0.193	-0.013	114.625	-0.017
4.848	-0.126	-0.106	115.397	0.017
4.883	-0.206	-0.051	114.993	0.009
4.917	-0.143	-0.004	113.792	0.009
4.952	-0.151	-0.013	113.841	-0.004
4.984	-0.256	-0.030	115.397	-0.008
5.015	-0.151	-0.081	114.981	0.034
5.045	-0.201	-0.055	115.189	0.013
5.076	-0.176	0.004	114.062	-0.025
5.106	-0.218	0.017	114.245	-0.017
5.137	-0.105	-0.030	113.939	0.013
5.167	-0.155	-0.008	113.963	-0.004
5.198	-0.226	-0.051	115.189	0.009
5.229	-0.172	-0.072	115.422	0.009
5.259	-0.151	-0.081	115.017	0.025
5.290	-0.222	0.013	114.307	-0.025
5.320	-0.260	0.000	114.956	-0.030
5.350	-0.185	-0.004	114.748	-0.030
5.381	-0.122	-0.021	113.620	0.021
5.412	-0.201	-0.055	115.753	-0.021
5.442	-0.134	-0.085	115.299	0.021
5.472	-0.138	-0.013	114.086	-0.021
5.502	-0.210	0.009	114.074	-0.021
5.533	-0.126	-0.093	115.140	0.034
5.564	-0.176	0.013	113.988	0.004
5.594	-0.218	-0.051	115.520	-0.021
5.624	-0.092	-0.064	114.834	0.025
5.660	-0.117	-0.030	113.878	0.038
5.691	-0.185	0.004	114.282	-0.025
5.722	-0.185	0.013	113.927	-0.017
5.753	-0.218	-0.008	115.312	-0.034
5.785	-0.155	-0.076	115.802	0.004
5.815	-0.159	-0.098	115.557	0.009
5.846	-0.096	-0.081	114.772	0.021
5.876	-0.130	-0.093	115.115	0.025
5.907	-0.180	0.004	114.478	-0.030
5.938	-0.231	0.013	114.478	-0.047
5.968	-0.243	-0.030	115.336	-0.055
6.004	-0.151	0.004	114.282	-0.021
6.035	-0.101	-0.038	113.718	0.021
6.066	-0.143	-0.072	114.932	0.021
6.097	-0.172	-0.064	115.042	0.025
6.128	-0.101	-0.085	115.238	0.021
6.159	-0.210	0.017	113.878	-0.004
6.191	-0.201	-0.051	115.508	-0.030
6.221	-0.143	-0.008	113.988	-0.013
6.252	-0.155	-0.076	114.993	0.034
6.282	-0.185	-0.013	114.417	-0.025
6.333	-0.176	-0.013	114.552	-0.042
6.364	-0.130	-0.102	115.728	0.025
6.399	-0.189	-0.051	114.993	0.009
6.432	-0.055	-0.098	114.564	0.038
6.462	-0.197	-0.055	115.324	0.013
6.493	-0.247	-0.008	115.103	-0.030
6.523	-0.101	-0.004	112.897	0.042
6.555	-0.193	-0.059	115.397	0.013
6.588	-0.113	-0.093	114.564	0.055
6.617	-0.084	-0.051	114.196	0.009
6.647	-0.105	-0.047	114.662	0.013
6.679	-0.029	-0.055	113.608	0.030
6.713	-0.197	0.004	114.209	-0.025
6.746	-0.143	-0.055	114.441	0.034
6.777	-0.214	-0.030	115.361	-0.030
6.807	-0.130	-0.025	113.841	0.038
6.837	-0.176	-0.076	115.790	-0.021
6.867	-0.117	-0.021	113.841	0.021
6.897	-0.206	-0.055	115.544	-0.017
6.927	-0.218	-0.030	114.993	0.009
6.957	-0.126	-0.093	115.299	0.004
6.988	-0.264	0.004	114.858	-0.025
7.018	-0.084	-0.098	114.968	0.030
7.048	-0.206	0.004	115.042	-0.051
7.079	-0.067	-0.085	114.392	0.034
7.110	-0.298	0.042	114.638	-0.051
7.140	-0.138	-0.072	114.638	0.038
7.169	-0.159	-0.004	114.037	0.004
7.199	-0.180	-0.042	114.932	0.004
7.230	-0.126	-0.021	114.552	-0.021
7.260	-0.222	0.021	114.062	-0.021
7.290	-0.067	-0.059	114.258	0.030
7.320	-0.088	-0.051	114.331	0.017
7.350	-0.117	-0.089	115.287	0.009
7.381	-0.130	-0.055	114.368	0.034
7.412	-0.164	-0.085	115.336	0.030
7.442	-0.180	-0.051	115.250	-0.025
7.472	-0.168	-0.081	115.483	0.017
7.503	-0.101	-0.021	113.535	0.038
7.536	-0.206	-0.072	115.336	0.017
7.569	-0.130	-0.093	115.042	0.051
7.600	-0.096	-0.059	114.503	0.013
7.629	-0.134	0.000	113.486	0.009
7.659	-0.222	0.017	114.000	-0.017
7.689	-0.206	0.017	113.902	-0.008
7.718	-0.092	-0.089	114.870	0.038
7.748	-0.193	-0.004	113.755	0.004
7.777	-0.214	-0.064	115.667	-0.004
7.807	-0.101	-0.089	114.576	0.009
7.838	-0.122	-0.085	115.385	0.013
7.868	-0.197	0.004	114.625	-0.042
7.900	-0.168	-0.025	114.834	-0.034
7.932	-0.075	-0.030	113.265	0.038
7.963	-0.189	0.004	114.294	-0.030
7.993	-0.231	0.038	113.412	-0.017
8.023	-0.113	-0.025	113.718	0.038
8.053	-0.239	-0.047	115.336	-0.021
8.083	-0.239	-0.013	114.919	-0.004
8.112	-0.143	-0.025	114.699	-0.021
8.144	-0.151	-0.008	113.816	0.004
8.178	-0.147	0.004	114.012	-0.021
8.211	-0.189	-0.076	115.385	-0.030
8.244	-0.168	-0.004	114.209	-0.008
8.276	-0.218	-0.051	115.165	-0.008
8.344	-0.168	-0.072	115.753	-0.004
8.377	-0.189	0.009	113.927	-0.004
8.410	-0.210	-0.021	114.956	-0.042
8.442	-0.256	0.004	114.821	-0.021
8.475	-0.155	-0.098	115.054	0.068
8.507	-0.189	-0.076	115.422	0.004
8.540	-0.172	-0.004	114.515	-0.047
8.573	-0.180	-0.051	114.834	0.004
8.604	-0.130	-0.042	114.000	0.017
8.637	-0.218	0.004	114.993	-0.072
8.672	-0.185	-0.013	114.613	0.000
8.702	-0.113	-0.034	114.184	0.009
8.733	-0.206	0.038	113.436	-0.004
8.764	-0.285	-0.025	115.618	-0.030
8.794	-0.239	0.017	114.270	-0.034
8.823	-0.210	-0.030	114.981	-0.017
8.852	-0.180	-0.004	114.711	-0.030
8.882	-0.260	-0.008	114.993	0.004
8.912	-0.176	0.004	114.098	-0.008
8.943	-0.126	-0.030	113.682	0.030
8.973	-0.138	-0.021	115.152	0.013
9.003	-0.206	0.013	113.816	-0.004
9.033	-0.130	-0.021	113.694	0.021
9.063	-0.155	-0.021	114.245	-0.013
9.093	-0.243	-0.025	115.312	-0.030
9.129	-0.231	0.004	114.233	-0.025
9.159	-0.138	-0.042	114.086	0.034
9.189	-0.117	-0.021	113.743	-0.017
9.218	-0.096	-0.089	114.490	0.059
9.250	-0.193	-0.021	115.005	-0.055
9.285	-0.214	0.013	114.196	-0.030
9.318	-0.197	-0.034	115.005	-0.004
9.348	-0.210	-0.047	115.140	-0.004
9.378	-0.164	-0.059	114.895	0.021
9.408	-0.159	0.187	115.557	0.025
9.438	-0.117	4.388	113.363	0.212
9.467	-0.117	11.935	115.312	-0.127
9.497	-0.164	18.394	113.486	-0.501
9.526	-0.084	21.047	114.883	-0.904
9.555	-0.084	21.004	113.057	-1.388
9.583	-0.130	18.042	113.841	-1.825
9.611	-0.105	12.542	113.792	-2.075
9.640	-0.101	8.875	113.865	-2.075
9.670	-0.088	7.342	113.461	-1.804
9.699	-0.059	7.856	113.106	-1.485
9.727	-0.185	10.576	113.130	-1.443
9.757	-0.256	14.872	114.662	-1.634
9.787	-0.130	18.755	113.436	-1.990
9.817	-0.063	21.964	113.191	-2.474
9.846	-0.185	24.506	114.356	-2.945
9.875	-0.159	26.696	114.417	-3.412
9.904	-0.147	28.814	114.748	-3.828
9.934	-0.176	31.190	115.275	-4.274
9.963	-0.264	33.644	114.417	-4.690
9.993	-0.063	35.974	112.750	-5.025
10.021	-0.256	38.198	114.037	-5.424
10.049	-0.168	40.252	114.392	-5.764
10.079	-0.268	42.378	114.490	-6.129
