X-Data [Hz],Reference,Article 1 3749 (M - Filtered) [g],Phase [Deg],Article 2 8361 (M - Filtered) [g],Phase [Deg],Article 3 8482 (M - Filtered) [g],Phase [Deg],Control [g]
,,002: [05-24-17 14:40],,002: [05-24-17 14:40],,002: [05-24-17 14:40],,002: [05-24-17 14:40]
29.4791,0.55,0.756193,-153.3,0.461617,-154.4,0.318774,-151.4,0.551921
29.5308,0.55,0.766974,-16.6,0.437324,-8,0.320487,-11.6,0.551159
29.5826,0.55,0.750717,122.9,0.47469,125.4,0.318159,125.1,0.551603
29.6344,0.55,0.725947,-100.9,0.468993,-104.1,0.311031,-102.5,0.551234
29.6864,0.55,0.729443,27.3,0.446867,27.4,0.313491,27.2,0.55129
29.7384,0.55,0.738801,152,0.446793,156.1,0.317411,155.6,0.551863
29.7906,0.55,0.731922,-82.4,0.449179,-80.6,0.311728,-80.5,0.551789
29.8428,0.55,0.710695,41,0.449728,41.1,0.308049,39.5,0.552097
29.8951,0.55,0.707937,158.3,0.457744,158.1,0.312557,158,0.551062
29.9475,0.55,0.710441,-88.5,0.445231,-88.1,0.31051,-85.9,0.551779
30,0.55,0.695645,149.9,0.429024,147.6,0.308647,150.2,0.552158
