"Date and Time Run #2","Time (s) Run #2","Black Bottle","Brushed Aluminum Bottle","White Bottle"
04/16/2026 03:43:00 pm,51.500,22.8,22.4,
04/16/2026 03:43:01 pm,52.000,22.8,22.4,22.1
04/16/2026 03:43:01 pm,52.500,22.8,22.4,
04/16/2026 03:43:02 pm,53.000,22.8,22.4,22.1
04/16/2026 03:43:02 pm,53.500,22.8,22.4,
04/16/2026 03:43:03 pm,54.000,22.8,22.4,22.1
04/16/2026 03:43:03 pm,54.500,22.8,22.4,
04/16/2026 03:43:04 pm,55.000,22.8,22.4,22.1
04/16/2026 03:43:04 pm,55.500,22.8,22.4,
04/16/2026 03:43:05 pm,56.000,22.8,22.4,22.1
04/16/2026 03:43:05 pm,56.500,22.8,22.4,
04/16/2026 03:43:06 pm,57.000,22.8,22.4,22.1
04/16/2026 03:43:06 pm,57.500,22.8,22.4,
04/16/2026 03:43:07 pm,58.000,22.9,22.4,22.1
04/16/2026 03:43:07 pm,58.500,22.8,22.4,
04/16/2026 03:43:08 pm,59.000,22.8,22.4,22.1
04/16/2026 03:43:08 pm,59.500,22.8,22.4,
04/16/2026 03:43:09 pm,60.000,22.9,22.4,22.1
04/16/2026 03:43:09 pm,60.500,22.8,22.4,
04/16/2026 03:43:10 pm,61.000,22.9,22.4,22.1
04/16/2026 03:43:10 pm,61.500,22.8,22.4,
04/16/2026 03:43:11 pm,62.000,22.8,22.4,22.1
04/16/2026 03:43:11 pm,62.500,22.8,22.4,
04/16/2026 03:43:12 pm,63.000,22.9,22.4,22.1
04/16/2026 03:43:12 pm,63.500,22.9,22.4,
04/16/2026 03:43:13 pm,64.000,22.9,22.4,22.1
04/16/2026 03:43:13 pm,64.500,22.9,22.4,
04/16/2026 03:43:14 pm,65.000,22.9,22.4,22.1
04/16/2026 03:43:14 pm,65.500,22.9,22.4,
04/16/2026 03:43:15 pm,66.000,22.9,22.4,22.1
04/16/2026 03:43:15 pm,66.500,22.9,22.4,
04/16/2026 03:43:16 pm,67.000,22.9,22.5,22.1
04/16/2026 03:43:16 pm,67.500,22.9,22.4,
04/16/2026 03:43:17 pm,68.000,22.9,22.4,22.1
04/16/2026 03:43:17 pm,68.500,22.9,22.4,
04/16/2026 03:43:18 pm,69.000,22.9,22.4,22.1
04/16/2026 03:43:18 pm,69.500,22.9,22.4,
04/16/2026 03:43:19 pm,70.000,22.9,22.4,22.1
04/16/2026 03:43:19 pm,70.500,22.9,22.4,
04/16/2026 03:43:20 pm,71.000,22.9,22.4,22.1
04/16/2026 03:43:20 pm,71.500,22.9,22.4,
04/16/2026 03:43:21 pm,72.000,22.9,22.4,22.1
04/16/2026 03:43:21 pm,72.500,22.9,22.4,
04/16/2026 03:43:22 pm,73.000,22.9,22.4,22.1
04/16/2026 03:43:22 pm,73.500,22.9,22.4,
04/16/2026 03:43:23 pm,74.000,22.9,22.4,22.1
04/16/2026 03:43:23 pm,74.500,22.9,22.4,
04/16/2026 03:43:24 pm,75.000,22.9,22.4,22.1
04/16/2026 03:43:24 pm,75.500,22.9,22.4,
04/16/2026 03:43:25 pm,76.000,22.9,22.4,22.1
04/16/2026 03:43:25 pm,76.500,22.9,22.4,
04/16/2026 03:43:26 pm,77.000,22.9,22.4,22.1
04/16/2026 03:43:26 pm,77.500,22.9,22.4,
04/16/2026 03:43:27 pm,78.000,22.9,22.4,22.1
04/16/2026 03:43:27 pm,78.500,22.9,22.5,
04/16/2026 03:43:28 pm,79.000,22.9,22.4,22.1
04/16/2026 03:43:28 pm,79.500,22.9,22.4,
04/16/2026 03:43:29 pm,80.000,22.9,22.5,22.1
04/16/2026 03:43:29 pm,80.500,22.9,22.4,
04/16/2026 03:43:30 pm,81.000,22.9,22.5,22.1
04/16/2026 03:43:30 pm,81.500,23.0,22.4,
04/16/2026 03:43:31 pm,82.000,22.9,22.5,22.1
04/16/2026 03:43:31 pm,82.500,22.9,22.4,
04/16/2026 03:43:32 pm,83.000,23.0,22.5,22.1
04/16/2026 03:43:32 pm,83.500,22.9,22.5,
04/16/2026 03:43:33 pm,84.000,23.0,22.4,22.1
04/16/2026 03:43:33 pm,84.500,22.9,22.5,
04/16/2026 03:43:34 pm,85.000,22.9,22.5,22.1
04/16/2026 03:43:34 pm,85.500,22.9,22.5,
04/16/2026 03:43:35 pm,86.000,23.0,22.5,22.1
04/16/2026 03:43:35 pm,86.500,23.0,22.5,
04/16/2026 03:43:36 pm,87.000,23.0,22.5,22.1
04/16/2026 03:43:36 pm,87.500,23.0,22.5,
04/16/2026 03:43:37 pm,88.000,23.0,22.5,22.1
04/16/2026 03:43:37 pm,88.500,23.0,22.5,
04/16/2026 03:43:38 pm,89.000,23.0,22.4,22.1
04/16/2026 03:43:38 pm,89.500,23.0,22.5,
04/16/2026 03:43:39 pm,90.000,23.0,22.5,22.1
04/16/2026 03:43:39 pm,90.500,23.0,22.5,
04/16/2026 03:43:40 pm,91.000,23.0,22.5,22.1
04/16/2026 03:43:40 pm,91.500,23.0,22.5,
04/16/2026 03:43:41 pm,92.000,23.0,22.5,22.1
04/16/2026 03:43:41 pm,92.500,23.0,22.5,
04/16/2026 03:43:42 pm,93.000,23.0,22.5,22.1
04/16/2026 03:43:42 pm,93.500,23.0,22.5,
04/16/2026 03:43:43 pm,94.000,23.0,22.5,22.1
04/16/2026 03:43:43 pm,94.500,23.0,22.5,
04/16/2026 03:43:44 pm,95.000,23.0,22.5,22.1
04/16/2026 03:43:44 pm,95.500,23.0,22.5,
04/16/2026 03:43:45 pm,96.000,23.0,22.5,22.1
04/16/2026 03:43:45 pm,96.500,23.0,22.5,
04/16/2026 03:43:46 pm,97.000,23.1,22.5,22.1
04/16/2026 03:43:46 pm,97.500,23.1,22.5,
04/16/2026 03:43:47 pm,98.000,23.1,22.5,22.1
04/16/2026 03:43:47 pm,98.500,23.1,22.5,
04/16/2026 03:43:48 pm,99.000,23.1,22.5,22.1
04/16/2026 03:43:48 pm,99.500,23.1,22.5,
04/16/2026 03:43:49 pm,100.000,23.1,22.5,22.1
04/16/2026 03:43:49 pm,100.500,23.1,22.5,
04/16/2026 03:43:50 pm,101.000,23.1,22.5,22.1
04/16/2026 03:43:50 pm,101.500,23.1,22.5,
04/16/2026 03:43:51 pm,102.000,23.1,22.5,22.1
04/16/2026 03:43:51 pm,102.500,23.1,22.5,
04/16/2026 03:43:52 pm,103.000,23.1,22.5,22.1
04/16/2026 03:43:52 pm,103.500,23.1,22.5,
04/16/2026 03:43:53 pm,104.000,23.1,22.5,22.1
04/16/2026 03:43:53 pm,104.500,23.1,22.5,
04/16/2026 03:43:54 pm,105.000,23.1,22.5,22.1
04/16/2026 03:43:54 pm,105.500,23.1,22.5,
04/16/2026 03:43:55 pm,106.000,23.1,22.5,22.1
04/16/2026 03:43:55 pm,106.500,23.1,22.5,
04/16/2026 03:43:56 pm,107.000,23.1,22.5,22.1
04/16/2026 03:43:56 pm,107.500,23.1,22.5,
04/16/2026 03:43:57 pm,108.000,23.1,22.5,22.1
04/16/2026 03:43:57 pm,108.500,23.1,22.5,
04/16/2026 03:43:58 pm,109.000,23.1,22.5,22.1
04/16/2026 03:43:58 pm,109.500,23.1,22.5,
04/16/2026 03:43:59 pm,110.000,23.2,22.5,22.1
04/16/2026 03:43:59 pm,110.500,23.1,22.5,
04/16/2026 03:44:00 pm,111.000,23.2,22.5,22.1
04/16/2026 03:44:00 pm,111.500,23.2,22.5,
04/16/2026 03:44:01 pm,112.000,23.1,22.5,22.1
04/16/2026 03:44:01 pm,112.500,23.2,22.5,
04/16/2026 03:44:02 pm,113.000,23.2,22.5,22.1
04/16/2026 03:44:02 pm,113.500,23.1,22.5,
04/16/2026 03:44:03 pm,114.000,23.2,22.5,22.1
04/16/2026 03:44:03 pm,114.500,23.2,22.5,
04/16/2026 03:44:04 pm,115.000,23.2,22.5,22.1
04/16/2026 03:44:04 pm,115.500,23.2,22.5,
04/16/2026 03:44:05 pm,116.000,23.2,22.5,22.1
04/16/2026 03:44:05 pm,116.500,23.2,22.5,
04/16/2026 03:44:06 pm,117.000,23.2,22.5,22.1
04/16/2026 03:44:06 pm,117.500,23.2,22.5,
04/16/2026 03:44:07 pm,118.000,23.2,22.5,22.2
04/16/2026 03:44:07 pm,118.500,23.2,22.5,
