sweep_index,point_index,elapsed_time_s,angle_deg,dist_mm
6.000000000000000000e+00,0.000000000000000000e+00,1.373272466659545898e+01,-4.500000000000000000e+01,2.051999999999999886e+02
6.000000000000000000e+00,1.000000000000000000e+00,1.373272466659545898e+01,0.000000000000000000e+00,1.831999999999999886e+02
6.000000000000000000e+00,2.000000000000000000e+00,1.373272466659545898e+01,4.500000000000000000e+01,2.121999999999999886e+02
7.000000000000000000e+00,0.000000000000000000e+00,1.569455027580261230e+01,-4.500000000000000000e+01,2.045999999999999943e+02
7.000000000000000000e+00,1.000000000000000000e+00,1.569455027580261230e+01,0.000000000000000000e+00,1.834000000000000057e+02
7.000000000000000000e+00,2.000000000000000000e+00,1.569455027580261230e+01,4.500000000000000000e+01,2.111999999999999886e+02
8.000000000000000000e+00,0.000000000000000000e+00,1.765719270706176758e+01,-4.500000000000000000e+01,2.050000000000000000e+02
8.000000000000000000e+00,1.000000000000000000e+00,1.765719270706176758e+01,0.000000000000000000e+00,1.844000000000000057e+02
8.000000000000000000e+00,2.000000000000000000e+00,1.765719270706176758e+01,4.500000000000000000e+01,2.110000000000000000e+02
9.000000000000000000e+00,0.000000000000000000e+00,1.961918377876281738e+01,-4.500000000000000000e+01,2.050000000000000000e+02
9.000000000000000000e+00,1.000000000000000000e+00,1.961918377876281738e+01,0.000000000000000000e+00,1.841699999999999875e+02
9.000000000000000000e+00,2.000000000000000000e+00,1.961918377876281738e+01,4.500000000000000000e+01,2.121999999999999886e+02
1.000000000000000000e+01,0.000000000000000000e+00,2.158035802841186523e+01,-4.500000000000000000e+01,2.055999999999999943e+02
1.000000000000000000e+01,1.000000000000000000e+00,2.158035802841186523e+01,0.000000000000000000e+00,1.840000000000000000e+02
1.000000000000000000e+01,2.000000000000000000e+00,2.158035802841186523e+01,4.500000000000000000e+01,2.120000000000000000e+02
1.100000000000000000e+01,0.000000000000000000e+00,2.354170179367065430e+01,-4.500000000000000000e+01,2.074000000000000057e+02
1.100000000000000000e+01,1.000000000000000000e+00,2.354170179367065430e+01,0.000000000000000000e+00,1.841999999999999886e+02
